Rk,Team,Conf,Div,W,L,W/L%,MOV,ORtg,DRtg,NRtg,MOV/A,ORtg/A,DRtg/A,NRtg/A
1,Los Angeles Clippers,W,P,9,1,.900,15.10,111.08,95.14,15.95,15.68,111.46,94.74,16.72
2,Atlanta Hawks,E,SE,7,2,.778,10.67,109.55,98.85,10.70,9.17,108.87,99.79,9.08
3,San Antonio Spurs,W,SW,7,3,.700,5.20,110.00,104.50,5.50,7.35,110.89,103.08,7.81
4,Cleveland Cavaliers,E,C,8,1,.889,7.44,113.00,105.35,7.65,7.01,112.05,104.98,7.07
5,Toronto Raptors,E,A,7,2,.778,6.11,112.60,106.23,6.37,5.99,113.96,107.79,6.16
6,Utah Jazz,W,NW,7,4,.636,4.55,107.42,102.41,5.01,5.03,108.84,103.31,5.53
7,Golden State Warriors,W,P,8,2,.800,8.20,116.12,107.81,8.31,5.33,115.99,110.47,5.52
8,Charlotte Hornets,E,SE,6,3,.667,5.56,107.73,102.23,5.50,5.37,107.47,102.23,5.24
9,Oklahoma City Thunder,W,NW,6,4,.600,2.00,105.44,103.51,1.93,4.02,106.35,102.27,4.08
10,Chicago Bulls,E,C,6,4,.600,5.40,111.97,106.53,5.44,3.28,110.32,107.25,3.08
11,Houston Rockets,W,SW,5,4,.556,0.33,111.91,111.57,0.33,1.98,114.03,112.02,2.01
12,Minnesota Timberwolves,W,NW,3,6,.333,2.78,113.43,110.63,2.81,1.48,114.69,113.25,1.44
13,Los Angeles Lakers,W,P,6,5,.545,1.09,109.70,108.71,0.98,0.94,108.99,108.13,0.85
14,Detroit Pistons,E,C,5,5,.500,0.70,103.75,103.11,0.65,0.14,104.02,103.84,0.19
15,Boston Celtics,E,A,5,4,.556,-0.11,111.54,111.90,-0.36,-0.25,111.45,112.06,-0.61
16,Miami Heat,E,SE,2,6,.250,-3.00,100.72,104.16,-3.44,-0.71,101.71,102.86,-1.15
17,Portland Trail Blazers,W,NW,7,4,.636,-2.36,108.10,110.38,-2.28,-1.90,110.08,111.67,-1.59
18,Washington Wizards,E,SE,2,7,.222,-4.22,103.78,107.86,-4.09,-1.84,103.88,105.73,-1.86
19,Milwaukee Bucks,E,C,5,4,.556,1.89,107.23,105.11,2.12,-1.93,107.49,109.36,-1.86
20,Brooklyn Nets,E,A,4,5,.444,-1.22,104.40,105.67,-1.27,-2.27,102.38,104.74,-2.36
21,Sacramento Kings,W,P,4,7,.364,-3.82,106.37,110.42,-4.05,-4.11,105.57,109.91,-4.34
22,Dallas Mavericks,W,SW,2,6,.250,-5.25,101.92,107.53,-5.61,-4.46,98.98,103.70,-4.72
23,Denver Nuggets,W,NW,3,7,.300,-4.10,104.31,108.65,-4.35,-4.71,102.37,107.30,-4.93
24,Indiana Pacers,E,C,4,6,.400,-3.60,107.28,110.93,-3.66,-5.09,107.26,112.61,-5.35
25,Phoenix Suns,W,P,3,8,.273,-7.27,103.12,110.12,-7.01,-6.14,103.16,108.89,-5.73
26,New York Knicks,E,A,3,6,.333,-7.89,105.51,113.33,-7.82,-6.27,105.62,111.82,-6.20
27,Memphis Grizzlies,W,SW,4,5,.444,-5.56,101.05,106.92,-5.87,-6.32,99.64,106.15,-6.51
28,New Orleans Pelicans,W,SW,1,9,.100,-8.20,101.09,109.52,-8.43,-8.82,99.80,108.78,-8.98
29,Orlando Magic,E,SE,4,6,.400,-9.10,102.24,111.93,-9.68,-8.62,103.14,112.40,-9.26
30,Philadelphia 76ers,E,A,1,8,.111,-11.78,96.53,108.56,-12.03,-9.45,97.99,107.78,-9.79